Analysis Id,Sample Id,Sample#,Type,Fixed?,Latitude,Longitude,Distance(miles),Bearing,Direction,Collection Date,Source,Description,Weight,Weight Unit,Depth,Surface Area(cm2),Shape,Uncertainty%,MDA,Method Code,Moisture%,Nuclide,Result,Unit
197931,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,3.4954E-05,4.15905E-07,Gamma Spectroscopy,,Cs-137,0.000579327,uCi/g
197933,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,1.50356E-05,6.09499E-07,Gamma Spectroscopy,,Cs-134,0.000589645,uCi/g
197935,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,5.68785E-06,8.23257E-06,Gamma Spectroscopy,,Te-129m,-3.54426E-06,uCi/g
197937,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,3.80208E-07,0,Gamma Spectroscopy,,Mo-99,-4.2956E-10,uCi/g
197939,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,4.74299E-05,0,Gamma Spectroscopy,,I-132,-1.29997E-11,uCi/g
197941,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,4.74299E-05,0,Gamma Spectroscopy,,Te-132,-1.29997E-11,uCi/g
197943,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,2.81848E-08,0.000000038,GP Counting,,Sr-90,9.62182E-08,uCi/g
197945,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,2.81848E-08,0.000000038,GP Counting,,Sr-90,9.62182E-08,uCi/g
197947,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,1.37719E-06,2.34223E-06,Gamma Spectroscopy,,Ce-144,1.56558E-07,uCi/g
197949,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,4.67937E-08,3.79924E-08,GP Counting,,Sr-Total,5.60886E-07,uCi/g
197951,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,2.81848E-08,0.000000038,GP Counting,,Sr-89,6.42205E-07,uCi/g
197953,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,2.81848E-08,0.000000038,GP Counting,,Sr-89,6.42205E-07,uCi/g
197955,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,7.94208E-07,9.6591E-07,Gamma Spectroscopy,,Ba-140,3.63323E-06,uCi/g
197957,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,1.18954E-06,1.24326E-06,Gamma Spectroscopy,,Cs-136,1.39438E-05,uCi/g
197959,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,7.9974E-06,7.3236E-06,Gamma Spectroscopy,,I-131,8.72086E-05,uCi/g
197961,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,2.80014E-05,3.75191E-07,Gamma Spectroscopy,,Cs-137,0.000463994,uCi/g
197963,9015,SCF-08776,Soil,No,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/11 2:00 PM,DOE,Field Team: Loc 3 ;,,,2,100,Square & Flat,1.21883E-05,5.51585E-07,Gamma Spectroscopy,,Cs-134,0.00047654,uCi/g
197965,9011,SCF-08777,Soil,No,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/11 2:30 PM,DOE,Field Team: Loc 4 ;,,,2,100,Square & Flat,4.19137E-06,6.08098E-06,Gamma Spectroscopy,,Te-129m,-2.02343E-06,uCi/g
197967,9011,SCF-08777,Soil,No,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/11 2:30 PM,DOE,Field Team: Loc 4 ;,,,2,100,Square & Flat,2.86758E-07,0,Gamma Spectroscopy,,Mo-99,-1.15034E-10,uCi/g
